run_id,repeat,system,query,concurrency,request_id,success,status,latency_ms,error
20260527-205309,1,spin,space,10,164,true,200,88.622,
20260527-205309,1,spin,space,10,161,true,200,114.491,
20260527-205309,1,spin,space,10,163,true,200,115.254,
20260527-205309,1,spin,space,10,165,true,200,98.468,
20260527-205309,1,spin,space,10,166,true,200,103.205,
20260527-205309,1,spin,space,10,167,true,200,94.597,
20260527-205309,1,spin,space,10,168,true,200,121.189,
20260527-205309,1,spin,space,10,169,true,200,108.301,
20260527-205309,1,spin,space,10,170,true,200,103.974,
20260527-205309,1,spin,space,10,172,true,200,99.400,
20260527-205309,1,spin,space,10,173,true,200,99.293,
20260527-205309,1,spin,space,10,175,true,200,94.612,
20260527-205309,1,spin,space,10,174,true,200,116.639,
20260527-205309,1,spin,space,10,177,true,200,103.204,
20260527-205309,1,spin,space,10,171,true,200,133.007,
20260527-205309,1,spin,space,10,176,true,200,121.487,
20260527-205309,1,spin,space,10,178,true,200,106.913,
20260527-205309,1,spin,space,10,179,true,200,121.568,
20260527-205309,1,spin,space,10,183,true,200,102.180,
20260527-205309,1,spin,space,10,182,true,200,111.756,
20260527-205309,1,spin,space,10,180,true,200,118.961,
20260527-205309,1,spin,space,10,181,true,200,117.848,
20260527-205309,1,spin,space,10,184,true,200,100.736,
20260527-205309,1,spin,space,10,186,true,200,112.517,
20260527-205309,1,spin,space,10,185,true,200,121.248,
20260527-205309,1,spin,space,10,187,true,200,129.243,
20260527-205309,1,spin,space,10,188,true,200,110.428,
20260527-205309,1,spin,space,10,189,true,200,118.121,
20260527-205309,1,spin,space,10,191,true,200,99.334,
20260527-205309,1,spin,space,10,190,true,200,108.624,
20260527-205309,1,spin,space,10,192,true,200,105.683,
20260527-205309,1,spin,space,10,194,true,200,93.319,
20260527-205309,1,spin,space,10,193,true,200,108.955,
20260527-205309,1,spin,space,10,196,true,200,109.140,
20260527-205309,1,spin,space,10,195,true,200,132.433,
20260527-205309,1,spin,space,10,198,true,200,120.266,
20260527-205309,1,spin,space,10,197,true,200,154.350,
20260527-205309,1,spin,space,10,199,true,200,115.491,
20260527-205309,1,spin,space,10,202,true,200,129.989,
20260527-205309,1,spin,space,10,200,true,200,140.572,
20260527-205309,1,spin,space,10,201,true,200,145.092,
20260527-205309,1,spin,space,10,203,true,200,151.793,
20260527-205309,1,spin,space,10,204,true,200,160.556,
20260527-205309,1,spin,space,10,205,true,200,152.988,
20260527-205309,1,spin,space,10,206,true,200,188.764,
20260527-205309,1,spin,space,10,207,true,200,189.162,
20260527-205309,1,spin,space,10,208,true,200,172.452,
20260527-205309,1,spin,space,10,211,true,200,156.352,
20260527-205309,1,spin,space,10,209,true,200,185.270,
20260527-205309,1,spin,space,10,214,true,200,128.992,
